Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
273,java,上海·徐汇·虹梅路,后端开发工程师,上海统策网络科技发展有限公司,100-299人,民营,1.5万-2.5万,大专,各类后端开发工程师,1-3年,180000.0,300000.0
274,java,上海·徐汇·虹梅路,Java工程师 (MJ002747),其他,1000-9999人,上市公司,1.9万-2.9万·14薪,本科,Java,3-5年,266000.0,406000.0
275,java,上海·松江·新桥,java,其他,500-999人,民营,7千-1万,本科,JavaScript Spring MySQL Oracle,1-3年,84000.0,120000.0
276,java,上海·杨浦·五角场,高级java工程师,海口冠宏科技有限公司,货运/物流/仓储,100-299人,1.5万-2万,大专,无要求,5-10年,180000.0,240000.0
277,java,上海·浦东·洋泾,上海java开发工程师,郑州乐驰软件科技有限公司,20-99人,民营,1万-1.5万,大专,无要求,1-3年,120000.0,180000.0
278,java,上海·浦东·金桥,java,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
279,java,上海·浦东·张江,高级Java开发-卡中心,上海平欣电子有限公司,100-299人,民营,1.6万-2万·13薪,本科,金融项目,5-10年,208000.0,260000.0
280,java,上海·黄浦·外滩,中级java工程师,其他,10000人以上,民营,1.3万-1.4万,大专,无要求,3-5年,156000.0,168000.0
281,java,上海·静安·天目西路,对日开发初级技术员到项目经理的全职位招聘,株式会社ProfaceSystems,20-99人,外商独资,2.5万-5万,大专,无要求,1-3年,300000.0,600000.0
282,java,上海·浦东·北蔡,java,其他,1000-9999人,民营,2.5万-3.5万,本科,JavaScript Spring Oracle MySQL 信创数据库,5-10年,300000.0,420000.0
283,java,上海·浦东·陆家嘴,对日Java开发工程师,上海朗裕信息科技有限公司,20-99人,民营,1万-1.5万,大专,HTML JavaScript .NET,5-10年,120000.0,180000.0
284,java,上海·浦东·金桥,java开发工程师,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-1.7万,本科,无要求,经验不限,144000.0,204000.0
285,java,上海·浦东·金桥,开发（JAVA）-通信协议技术部,其他,10000人以上,民营,9千-1.5万,本科,无要求,1-3年,108000.0,180000.0
286,java,上海·徐汇·虹梅路,JAVA开发,其他,1000-9999人,上市公司,1.3万-1.7万,本科,ERP系统开发,3-5年,156000.0,204000.0
287,java,上海·浦东·周浦,软件研发工程师,其他,100-299人,股份制企业,8千-1.6万,本科,C++ C#,1-3年,96000.0,192000.0
288,java,上海·奉贤·金海,java后端开发系统工程师,启奉(上海)数字科技有限公司,100-299人,民营,1万-1.2万,本科,无要求,3-5年,120000.0,144000.0
289,java,上海·静安·彭浦,【校园招聘】软件研发工程师（Java）,其他,10000人以上,国企,1.2万-1.9万,硕士,Spring,无经验,144000.0,228000.0
290,java,上海·静安·南京西路,高级Java开发工程师,上海茵赫实业有限公司,1000-9999人,其它,2万-2.5万,本科,Spring SPRINGMVC MEMCACHE,3-5年,240000.0,300000.0
291,java,上海·徐汇·虹梅路,小程序开发JAVA工程师广州/上海,上海无学网络科技有限公司,100-299人,民营,9千-1.2万,本科,uni-app React Vue HTML5 TypeScript JavaScript HTML,1-3年,108000.0,144000.0
292,java,上海·湖南路,Java开发工程师,湖北平调科技有限公司,互联网,500-999人,1.5万-2.5万·14薪,本科,JavaScript CSS Spring Hibernate Struts MySQL PostgreSQL Oracle,3-5年,210000.0,350000.0
293,java,上海·浦东·张江,Java开发,其他,1000-9999人,股份制企业,1.5万-1.6万,本科,SpringBoot Mybatis Hadoop Spark Flink Java 后端开发 大数据开发,1-3年,180000.0,192000.0
294,java,上海·徐汇·虹梅路,Java开发工程师,上海思普信息技术有限公司,100-299人,民营,1.1万-2.2万·13薪,本科,后端开发,3-5年,143000.0,286000.0
295,java,上海·浦东·花木,软件开发管培生（校招）,其他,1000-9999人,上市公司,1.5万-2.5万,硕士,后端开发,经验不限,180000.0,300000.0
296,java,上海·陆家嘴,高级Java开发工程师,国泰财产保险有限责任公司,500-999人,合资,2.5万-3.5万,本科,Java,5-10年,300000.0,420000.0
297,java,上海·黄浦·五里桥,java全栈工程师,郑州海奥软件科技有限公司,100-299人,民营,9千-1.3万,大专,无要求,5-10年,108000.0,156000.0
298,java,上海·浦东·张江,java,北京高维通科技发展有限公司,100-299人,民营,1.3万-1.8万,大专,JAVAEE,5-10年,156000.0,216000.0
299,java,上海·浦东·金桥,python java c c++ js开发工程师,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
300,java,上海·长宁·天山路,java,其他,1000-9999人,民营,2.5万-5万·16薪,本科,无要求,1-3年,400000.0,800000.0
301,java,上海·浦东·花木,上海-中高级Java开发（要求寿险开发经验）,其他,1000-9999人,股份制企业,1.3万-1.5万,大专,Java SpringBoot SpringCloud SpringMVC 微服务架构 网络协议 后端开发 全栈开发,3-5年,156000.0,180000.0
302,java,上海·浦东·曹路,Java开发工程师,上海宇量昇科技有限公司,电子/半导体/集成电路,300-499人,1.5万-3万,本科,Java Spring MySQL PostgreSQL Redis,3-5年,180000.0,360000.0
303,java,上海·浦东·北蔡,Java开发工程师（信创） (MJ002499),其他,1000-9999人,民营,1.7万-2.3万,本科,SpringCloud SpringBoot Java Oracle 微服务架构 JPA 国产数据库 性能调优,3-5年,204000.0,276000.0
304,java,上海·杨浦·五角场,对日Java开发,上海朗裕信息科技有限公司,20-99人,民营,7千-1.2万,大专,无要求,3-5年,84000.0,144000.0
305,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,C++ C Python,经验不限,168000.0,336000.0
306,java,上海·松江·泗泾,Java高级开发工程师（松江）,其他,500-999人,上市公司,2万-3万,本科,Java,5-10年,240000.0,360000.0
307,java,上海·浦东·唐镇,Java开发-驻场天安保险,道康互联(北京)数据科技有限公司,20-99人,合资,1.4万-1.5万,本科,Java MySQL SpringMVC Mybatis,3-5年,168000.0,180000.0
308,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万,本科,JavaScript Python C++,经验不限,180000.0,360000.0
309,java,上海·浦东·唐镇,java开发,沈阳思诺科技有限公司,100-299人,民营,1.2万-2.4万,本科,无要求,3-5年,144000.0,288000.0
310,java,上海·浦东·唐镇,Java开发工程师,其他,1000-9999人,股份制企业,1.6万-2.4万·13薪,本科,后端开发 Java,5-10年,208000.0,312000.0
311,java,上海·浦东·潍坊新村,java开发（大专即可~短期2个月~薪资全额）,北京青钱信息技术有限公司,500-999人,民营,1.5万-1.9万,大专,无要求,5-10年,180000.0,228000.0
312,java,上海·浦东·塘桥,java开发工程师,其他,500-999人,民营,7千-1.2万,本科,无要求,1-3年,84000.0,144000.0
313,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-2.4万,本科,JavaScript Python,经验不限,204000.0,288000.0
315,java,上海·浦东·张江,java高级研发工程师,上海亿业网络科技发展有限公司,100-299人,合资,1.5万-3万·13薪,本科,无要求,3-5年,195000.0,390000.0
316,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·15薪,本科,Python C++ Java,经验不限,225000.0,450000.0
317,java,上海·浦东·唐镇,java,其他,500-999人,合资,1.5万-1.8万,本科,无要求,3-5年,180000.0,216000.0
318,java,上海·杨浦·平凉路,Java Developer,其他,10000人以上,外商独资,1.6万-2万·13薪,本科,Spring,3-5年,208000.0,260000.0
319,java,上海·嘉定·安亭,java,中电信链信息技术南京有限公司,20人以下,其它,9千-1.8万,大专,无要求,3-5年,108000.0,216000.0
320,java,上海·静安·南京西路,java工程师,上海赞魅国际物流有限公司,20-99人,民营,2万-3.5万,本科,无要求,3-5年,240000.0,420000.0
321,java,上海·浦东·金桥,"软件开发（Java,python）-硬件工程测试部",其他,10000人以上,民营,9千-1.5万,本科,无要求,3-5年,108000.0,180000.0
322,java,上海·徐汇·田林,对日SE 上海,上海达巴辛软件有限公司,20-99人,民营,1.3万-2万·13薪,学历不限,Java .NET iOS Android C++ C# PEGA 日语,3-5年,169000.0,260000.0
323,java,上海·浦东·金桥,java,外企德科,1000-9999人,合资,1万-1.4万·14薪,本科,无要求,1-3年,140000.0,196000.0
324,java,上海·徐汇·天平路,java中级开发工程师,上海复医天健医疗服务产业股份有限公司,10000人以上,国企,1万-1.2万·13薪,本科,无要求,1-3年,130000.0,156000.0
325,java,上海·浦东·金桥,上海Java开发（外包银行）,其他,500-999人,合资,9千-1.3万,本科,无要求,1-3年,108000.0,156000.0
326,java,上海·浦东·唐镇,Java开发工程师,其他,1000-9999人,股份制企业,1.3万-2万·13薪,本科,无要求,3-5年,169000.0,260000.0
327,java,上海·浦东·张江,Java中级开发工程师,上海视畅信息科技有限公司,20-99人,民营,1.4万-2.4万,本科,Java Spring MySQL MyBatis J2EE 后端开发,3-5年,168000.0,288000.0
328,java,上海·浦东·唐镇,中高级java工程师,其他,10000人以上,民营,1.4万-1.7万,本科,无要求,经验不限,168000.0,204000.0
329,java,上海·黄浦·半淞园路,中级java工程师,上海帆立信息科技有限公司宁波分公司,人工智能,100-299人,1.3万-2万,本科,无要求,3-5年,156000.0,240000.0
330,java,上海·虹口·四川北路,java,上海智和信息技术有限公司,20-99人,民营,1.2万-2.4万,本科,Java JVM Spring MyBatis,3-5年,144000.0,288000.0
331,java,上海·长宁·新泾,资深后端开发工程师,其他,1000-9999人,外商独资,1.5万-2.5万,本科,Python MySQL,5-10年,180000.0,300000.0
332,java,上海·静安·石门二路,java,其他,1000-9999人,上市公司,1.8万-2.4万,本科,JavaScript Spring MySQL,3-5年,216000.0,288000.0
