Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
30,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,156000.0,312000.0,1000.0,9999.0
31,python,上海·浦东·金桥,"软件开发（Java,python）-硬件工程测试部",其他,民营,本科,无要求,3-5年,108000.0,180000.0,10000.0,
32,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,182000.0,364000.0,10000.0,
33,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,1-3年,288000.0,560000.0,1000.0,9999.0
34,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
35,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,JavaScript Python C++ MySQL Oracle PostgreSQL Spring Hibernate Mybatis,经验不限,168000.0,336000.0,10000.0,
36,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,1-3年,140000.0,196000.0,1000.0,9999.0
37,python,上海·杨浦·新江湾城,python爬虫工程师,其他,上市公司,大专,无要求,3-5年,195000.0,325000.0,1000.0,9999.0
38,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ C Java 通信/物联网/自动化 嵌入式,经验不限,210000.0,420000.0,10000.0,
39,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
40,python,上海·黄浦·小东门,python,其他,民营,大专,无要求,1-3年,132000.0,240000.0,300.0,499.0
41,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,182000.0,364000.0,10000.0,
42,python,上海·浦东·金桥,python,外企德科,合资,本科,C++ Python Java,经验不限,336000.0,640000.0,1000.0,9999.0
43,python,上海·浦东·金杨新村,python编程讲师,其他,民营,本科,无要求,经验不限,120000.0,240000.0,100.0,299.0
44,python,上海·青浦·金泽,python,外企德科数字技术有限公司,,本科,Django,经验不限,210000.0,280000.0,10000.0,
45,python,上海·浦东·金桥,python,外企德科,合资,本科,全栈开发 后端开发 SpringBoot SpringMVC Java Python JavaScript WEB开发,经验不限,196000.0,392000.0,1000.0,9999.0
46,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
47,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,168000.0,336000.0,10000.0,
48,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,240000.0,480000.0,1000.0,9999.0
50,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Java Python C++,1-3年,196000.0,392000.0,10000.0,
51,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
52,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,252000.0,490000.0,1000.0,9999.0
53,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,420000.0,10000.0,
54,python,上海·浦东·陆家嘴,数据爬虫工程师,上海问道云人工智能科技有限公司,民营,本科,Java Python 数据挖掘 数据清洗 数据采集 爬虫开发 反爬虫 分布式爬虫,3-5年,180000.0,240000.0,20.0,99.0
55,python,上海·闵行·虹桥,Python开发实习生,上海熵变网络科技有限公司,民营,本科,Python,无经验,60000.0,120000.0,20.0,99.0
56,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,140000.0,280000.0,1000.0,9999.0
