Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
160,c++,上海·浦东·金桥,c++开发工程师,其他,10000人以上,民营,1.2万-1.8万,本科,无要求,1-3年,144000.0,216000.0
161,c++,上海·浦东·花木,中证资本-场内业务部-场内量化开发岗G00423,中信期货有限公司,1000-9999人,国企,2万-4万,本科,Linux开发,1-3年,240000.0,480000.0
162,c++,上海·花木,C++开发工程师-服务端开发,上海洛书投资管理有限公司,20-99人,民营,1.5万-3万,本科,Linux C++,经验不限,180000.0,360000.0
163,c++,上海·浦东·金桥,c++开发工程师,其他,10000人以上,民营,1.4万-1.9万,本科,无要求,1-3年,168000.0,228000.0
164,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科,Java Python 数据结构 C语言 算法基础,经验不限,182000.0,364000.0
165,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
166,c++,上海·浦东·张江,软件工程师,上海驭矩信息科技有限公司,20-99人,民营,1万-2万·14薪,大专,C++ Winform MFC QT C# SQL,1-3年,140000.0,280000.0
167,c++,上海·浦东·金桥,c++,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-3万·14薪,本科,无要求,无经验,210000.0,420000.0
168,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,2.1万-4万·14薪,本科,C C++ Linux开发 SPRING MVC,经验不限,294000.0,560000.0
169,c++,上海·塘桥,C++后端逻辑开发工程师,其他,100-299人,股份制企业,2万-3万,大专,C++,1-3年,240000.0,360000.0
171,c++,上海·浦东·金桥,C++,其他,10000人以上,民营,1.1万-2.1万,本科,C++ C Python Linux开发 Android,经验不限,132000.0,252000.0
172,c++,上海·小东门,运维/web/测试/c/c++/java/python,外企德科,1000-9999人,合资,1.8万-2.8万·14薪,本科,无要求,经验不限,252000.0,392000.0
173,c++,上海·崇明·长兴,c++,其他,500-999人,民营,1.5万-1.6万,本科,无要求,3-5年,180000.0,192000.0
174,c++,上海·浦东·金桥,C++,其他,10000人以上,民营,1万-1.7万,本科,无要求,1-3年,120000.0,204000.0
175,c++,上海·浦东·金桥,c++,外企德科,1000-9999人,合资,1.8万-2.5万·14薪,本科,C语言 Java,1-3年,252000.0,350000.0
