Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
151,前端开发,上海·浦东·金桥,Web前端工程师,其他,500-999人,民营,1.2万-1.4万,大专,Vue,经验不限,144000.0,168000.0
152,前端开发,上海·浦东·张江,前端开发,北京永生鼎立信息技术有限公司,100-299人,合资,1.6万-2.5万,大专,无要求,5-10年,192000.0,300000.0
153,前端开发,上海·浦东·唐镇,前端工程师,燕梭金融信息科技(上海)有限公司,100-299人,民营,1万-1.8万·13薪,本科,无要求,经验不限,130000.0,234000.0
154,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.7万-3万·15薪,本科,无要求,经验不限,255000.0,450000.0
155,前端开发,上海·徐汇·田林,前端开发,安易行(常州)新能源科技有限公司,500-999人,民营,8千-1.2万·13薪,大专,无要求,1-3年,104000.0,156000.0
156,前端开发,上海·杨浦·五角场,AIGC 前端应用开发服务,上海坤亿信息技术有限公司,20-99人,民营,1.8万-2万,本科,无要求,3-5年,216000.0,240000.0
157,前端开发,上海·宝山·杨行,前端开发工程师,上海二十冶建设有限公司,1000-9999人,国企,1.2万-1.5万,本科,无要求,3-5年,144000.0,180000.0
158,前端开发,上海·浦东·金桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.3万-2.6万·14薪,本科,无要求,经验不限,182000.0,364000.0
159,前端开发,上海·嘉定·马陆,VUE前端开发工程师,上海守安投资控股集团有限公司,300-499人,民营,8千-1.2万,本科,无要求,1-3年,96000.0,144000.0
160,前端开发,上海·宝山·高境,前端开发工程师,琅琛信息技术(上海)有限公司,20人以下,民营,1.2万-1.6万·13薪,本科,无要求,3-5年,156000.0,208000.0
161,前端开发,上海·浦东·金桥,前端开发,外企德科,1000-9999人,合资,1.5万-3万·14薪,本科,无要求,经验不限,210000.0,420000.0
163,前端开发,上海·静安·石门二路,前端开发,上海吾道信息科技有限公司,10000人以上,民营,1.4万-1.8万,大专,无要求,3-5年,168000.0,216000.0
164,前端开发,上海·徐汇·徐家汇,前端工程师,其他,100-299人,上市公司,1.2万-1.3万,本科,无要求,3-5年,144000.0,156000.0
165,前端开发,上海·浦东·陆家嘴,前端开发,其他,100-299人,民营,1.5万-3万,本科,无要求,经验不限,180000.0,360000.0
166,前端开发,上海·静安·彭浦,前端开发工程师,上海陶术生物科技有限公司,100-299人,民营,1.3万-1.8万,本科,无要求,3-5年,156000.0,216000.0
167,前端开发,上海·闵行·梅陇,前端工程师,谊风信息技术(重庆)有限公司,20-99人,民营,8千-1.2万,大专,大屏/可视化项目 电商项目 ERP项目 CSS JavaScript HTML5 Vue ElementUI uni-app Node.js WebGL Echarts,1-3年,96000.0,144000.0
169,前端开发,上海·徐汇·田林,Web前端工程师,北京嘀果技术服务有限公司,20-99人,民营,1.6万-3万,本科,CSS HTML HTML5 web前端 JavaScript 英语较好,1年以下,192000.0,360000.0
171,前端开发,上海·浦东·陆家嘴,前端开发,山西喜跃发道路建设养护集团有限公司,500-999人,上市公司,1.8万-2.3万,本科,无要求,5-10年,216000.0,276000.0
172,前端开发,上海·静安·江宁路,Web开发,其他,1000-9999人,民营,1.7万-2万,大专,TypeScript Vue uni-app PINIA,5-10年,204000.0,240000.0
173,前端开发,上海·嘉定·马陆,WebGL前端开发工程师,上海在伊环保科技有限公司,20-99人,民营,1万-1.5万·15薪,本科,无要求,经验不限,150000.0,225000.0
174,前端开发,上海·浦东·上钢新村,前端开发,金锐软件技术(杭州)有限公司,500-999人,民营,1.3万-1.5万,本科,无要求,3-5年,156000.0,180000.0
175,前端开发,上海·杨浦·大桥,前端开发,外企德科数字技术有限公司,人力资源服务,10000人以上,1.5万-1.8万,本科,无要求,3-5年,180000.0,216000.0
176,前端开发,上海·浦东·唐镇,前端开发,其他,10000人以上,民营,1.4万-1.6万,本科,CSS React JavaScript 金融经验 H5,3-5年,168000.0,192000.0
177,前端开发,上海·浦东·陆家嘴,react前端开发（学信统本到面 ）,拓保软件,1000-9999人,民营,1.3万-1.6万,本科,无要求,3-5年,156000.0,192000.0
178,前端开发,上海·静安·大宁路,WEB端开发工程师,上海威联信息技术有限公司,100-299人,民营,1.4万-1.6万,本科,React Vue 大屏/可视化项目 GIS/地图项目 ERP项目 CSS,10年以上,168000.0,192000.0
179,前端开发,上海·嘉定·安亭,前端开发,其他,10000人以上,外商独资,1.6万-2.2万,大专,无要求,3-5年,192000.0,264000.0
180,前端开发,上海·闵行·虹桥,前端工程师,上海西信软件工程有限公司,100-299人,民营,1万-1.5万,本科,Vue,3-5年,120000.0,180000.0
181,前端开发,上海·闵行·新虹,前端开发,上海华驿汽车技术有限公司,100-299人,民营,1.5万-1.9万,大专,无要求,3-5年,180000.0,228000.0
182,前端开发,上海·浦东·金桥,前端开发工程师(上海)(J10822),善诚科技发展（上海）有限公司,300-499人,外商独资,1.5万-1.8万,本科,无要求,3-5年,180000.0,216000.0
183,前端开发,上海·浦东·花木,前端开发,京客科技(深圳)有限公司,100-299人,民营,1.6万-2.5万,本科,无要求,1-3年,192000.0,300000.0
184,前端开发,上海·静安·南京西路,前端开发工程师,上海茵赫实业有限公司,1000-9999人,其它,1万-2万,本科,无要求,3-5年,120000.0,240000.0
185,前端开发,上海·青浦·徐泾,前端销售,上海九方云智能科技有限公司,1000-9999人,上市公司,1.6万-2.5万,本科,无要求,经验不限,192000.0,300000.0
186,前端开发,上海·浦东·陆家嘴,前端工程师,上海问道云人工智能科技有限公司,20-99人,民营,1万-1.5万,本科,JavaScript,3-5年,120000.0,180000.0
